transaction_id,customer_id,transaction_date,store_id,total_amount,payment_method,loyalty_card,status
TX_00000001,,2024-01-01,TIENDA_001,120.98,CARD,False,COMPLETED
TX_00000002,,2024-01-01,TIENDA_001,47.09,CASH,False,COMPLETED
TX_00000003,,2024-01-01,TIENDA_001,195.55,CASH,False,COMPLETED
TX_00000004,CUST_01486,2024-01-01,TIENDA_001,72.25,CASH,True,COMPLETED
TX_00000005,,2024-01-01,TIENDA_001,124.8,CASH,False,COMPLETED
TX_00000006,,2024-01-01,TIENDA_001,8.53,CARD,False,COMPLETED
TX_00000007,CUST_00975,2024-01-01,TIENDA_001,82.34,DIGITAL,True,COMPLETED
TX_00000008,CUST_02636,2024-01-01,TIENDA_001,707.51,CARD,True,COMPLETED
TX_00000009,CUST_01858,2024-01-01,TIENDA_001,104.08,CASH,True,COMPLETED
TX_00000010,,2024-01-01,TIENDA_001,140.8,CASH,False,COMPLETED
TX_00000011,,2024-01-01,TIENDA_001,201.72,CASH,False,COMPLETED
TX_00000012,CUST_01859,2024-01-01,TIENDA_001,47.43,CASH,True,COMPLETED
TX_00000013,,2024-01-01,TIENDA_001,159.76,CASH,False,COMPLETED
TX_00000014,CUST_01344,2024-01-01,TIENDA_001,28.45,CARD,True,COMPLETED
TX_00000015,,2024-01-01,TIENDA_001,22.31,CARD,False,COMPLETED
TX_00000016,CUST_02532,2024-01-01,TIENDA_001,98.67,CARD,True,COMPLETED
TX_00000017,,2024-01-02,TIENDA_001,740.1,CARD,False,COMPLETED
TX_00000018,,2024-01-02,TIENDA_001,63.49,CARD,False,COMPLETED
TX_00000019,,2024-01-02,TIENDA_001,613.48,DIGITAL,False,COMPLETED
TX_00000020,,2024-01-02,TIENDA_001,377.1,CASH,False,COMPLETED
TX_00000021,CUST_02290,2024-01-02,TIENDA_001,207.45,DIGITAL,True,COMPLETED
TX_00000022,CUST_00564,2024-01-02,TIENDA_001,68.58,CARD,True,COMPLETED
TX_00000023,CUST_02838,2024-01-02,TIENDA_001,148.32,DIGITAL,True,COMPLETED
TX_00000024,CUST_01565,2024-01-02,TIENDA_001,53.34,CASH,True,COMPLETED
TX_00000025,,2024-01-02,TIENDA_001,620.78,DIGITAL,False,COMPLETED
